,channel_title,title,description,published,tag_count,view_count,viewer_percentage,estimated_min_watched,avg_view_duration,avg_view_percentage,like_count,dislike_count,share_count,comment_count,duration_str,aud_watch_ratio,relative_retention_performance,title_length,reactions
0,Yoga With Adriene,30 Days of Yoga - Start Here,"Welcome! Thank you for joining me for the 30 Days Of Yoga experience! Watch this video before you begin! 

It includes helpful ideas and tips to support you on your journey! Today we begin with this video! Tomorrow - DAY 1 of YOGA. 

 As we transition into the New Year I already feel great about the idea of practicing for 30 days straight. I feel excited about challenging myself, connecting to myself, and learning something new. I am grateful that my body is able to move, that my breath is capable of deepening and I love that I will be doing it with so many others, around the globe.
 
The hardest part each day will likely be getting on the mat. Make time. Stay focused and choose to make the experience your own. This 30 Day practice is intended to support you in finding what feels good in the New Year. So, though it may be challenging to make time for your practice – just do it – knowing that it is okay to adapt, change, modify, rebel and do your own thang at any time.

But get on the mat. 

Take conscious breaths and stretch each day as a way of connecting to your intentions, your big picture, and ultimately, complete wellness.
 
Why not? Let's reach for the stars!

- - - - - -

Need the BASICS of Foundations of a pose?
Check out the Foundations Of Yoga playlist: http://goo.gl/Bc2iUc

#yogawithadriene   #freeyoga   #30daysofyoga
  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become an FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one-of-a-kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2015-01-01T06:00:05Z,19,5538427,0,0,0,0,32760,0,0,1366,5:7,0,0,28,35492
1,Yoga With Adriene,Day 1 - Ease Into It - 30 Days of Yoga,"Join Adriene on Day 1 of The 30 Days of Yoga journey! Ease into your 30 day experience with an open mind, kindness and curiosity. 

Use this DAY 1 practice to take stock, check in with the body and mind. Begin the practice of slowing down, noticing, stretching and moving with ease. Commit to 30 days of breathing deep and listening. Acknowledge the distractions, the frustrations, the parts of the body that need more love or are in healing. Acknowledge it all! For this journey is about more than just a flexible, strong and tone body. It is about full mind, heart and body wellness. Begin here to set the foundation for a connected home practice. - FREE and in the comfort of your own home! Get empowered, find what feels good, listen to your body and let's have some fun!

Connect and support others down below! Cultivate positivity. Remember each day is different! The journey is the reward! See you tomorrow!

- - - - - -

Need the BASICS of Foundations of a pose?
Check out the Foundations Of Yoga playlist: http://goo.gl/Bc2iUc

#yogawithadriene   #freeyoga   #30daysofyoga
  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2015-01-02T06:00:01Z,22,28580592,0,0,0,0,285748,0,0,11096,34:57,0,0,38,307940
2,Yoga With Adriene,Day 2 - Stretch & Soothe - 30 Days of Yoga,"Join Adriene on Day 2 of The 30 Days of Yoga journey! Stretch your body and soothe your soul. Relieve stress and ease into your 30-day experience with an open mind, kindness, and curiosity. 

Use this Day 2 practice to stretch tight muscles and soothe the nervous system - even an achey heart. This first week we take time to connect to the big picture and a full-body experience. Practice staying present as we deepen the practice and learn vocabulary to play with on our mat. Practices change from day to day - and get shorter towards the end. Stick with it! Take this time for yourself. Have courage to take the time for yourself! Get empowered, find what feels good, listen to your body and don't forget to have some fun!

Connect and support others down below! Cultivate positivity. Remember each day is different! The journey is the reward! See you tomorrow!

- - - - - -

Need the BASICS of Foundations of a pose?
Check out the Foundations Of Yoga playlist: http://goo.gl/Bc2iUc

#yogawithadriene   #freeyoga   #30daysofyoga
  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2015-01-03T06:00:02Z,19,11937842,0,0,0,0,78987,0,0,5783,33:19,0,0,42,90553
3,Yoga With Adriene,Day 3 - Forget What You Know - 30 Days of Yoga,"Join Adriene on Day 3 of The 30 Days of Yoga journey! Forget What You Know About Yoga! It is so easy to slip into automatic pilot. For today's sequence, come into a beginner's mind. (Bonus if you are a beginner and totally new to yoga!) When we come to this idea of beginner's mind - we open up to all possibilities.

Use this Day 3 practice to check in with balance and connect to your core center. Let go of expectations and stay receptive as you work to build strength and unlock more space. Again, open up to making new discoveries! If you are regular yogi this practice will be a great opportunity to change it up. If you are new to the practice, ROCK ON, you have that beautiful beginner's mind already. Seek opportunities to learn - especially in the difficulties. Everyone, close your eyes when you can, move mindfully, and trust yourself. Breathe. Breathe slowly. This revitalizing and strengthening sequence is great for balance, core & hip check-in, and supports good posture! Explore where you are TODAY.

There are some more restorative practices on the way, I promise! Plus shorter sequences begin to weave in and out! Stick with it!! 

Connect and support others down below! Cultivate positivity. Remember each day is different! The journey is the reward! See you tomorrow!

- - - - - -

Need the BASICS of Foundations of a pose?
Check out the Foundations Of Yoga playlist: http://goo.gl/Bc2iUc

#yogawithadriene   #freeyoga   #30daysofyoga
  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2015-01-04T06:00:03Z,17,7279607,0,0,0,0,40997,0,0,3315,23:4,0,0,46,47627
4,Yoga With Adriene,Day 4 - Yoga For Your Back - 30 Days of Yoga,"Yoga for your back! Stretch and strengthen your back with the power of the breath!

Use this practice to awaken the spine and meet your edge. Tone arms, legs, core and stay connected to subtle body movement with the breath. Stick with it! Take this time to see to notice how Yoga practice has your back. Get frisky! Or at least, remember Yoga is not so serious! Modify as needed and keep a sense of humor. Keep finding that breath! 

Connect and support others down below! Cultivate positivity. Remember each day is different! The journey is the reward! See you tomorrow!

- - - - - -
Need the BASICS of Foundations of a pose?
Check out the Foundations Of Yoga playlist: http://goo.gl/Bc2iUc

#yogawithadriene   #freeyoga   #30daysofyoga
  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2015-01-05T06:00:04Z,19,7375156,0,0,0,0,40119,0,0,2568,20:16,0,0,44,45255
5,Yoga With Adriene,Day 5 - FEEL ALIVE FLOW- 30 Days of Yoga,"Join Adriene on Day 5 of The 30 Days of Yoga journey! Feel Alive Flow! This practice will help you shake off the blues to feel revitalized and fresh again!

Use this Day 5 practice to check in with the breath. Let the breath be the soundtrack to this practice. Notice what it feels like to be ALIVE today. Meet your edge but don't take anything too seriously. Today is a reminder to have some fun! Smile and stretch it out. Give thanks! You are ALIVE! Yoga helps up notice what it feels like to be alive and in the moment. Give thanks and enjoy!

Connect and support others down below! Cultivate positivity. Remember each day is different! The journey is the reward! See you tomorrow!

- - - - - -
Need the BASICS of Foundations of a pose?
Check out the Foundations Of Yoga playlist: http://goo.gl/Bc2iUc

#yogawithadriene   #freeyoga   #30daysofyoga
  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2015-01-06T06:00:01Z,22,5705315,0,0,0,0,29797,0,0,2194,16:33,0,0,40,34185
6,Yoga With Adriene,Day 6 - SIX PACK ABS - 30 Days of Yoga,"Join Adriene on Day 6 of The 30 Days of Yoga journey! Six Pack Abs! Yogi style. This is a shorter practice to tone the abdominals in a mindful way that feels fun and supportive! Also, almost everyone wants more core strength and tone abdominals. You asked for it!
Use this Day 6 practice to check in with the core. Mindful core training will support your entire practice and whole-body health. While tone abs are something we all fancy (me too) core strength training is so much more than washboard abs or a flat tummy. By building core strength you are supporting the back and all of the muscles that surround your dear spinal cord. By working those muscles we are taking some of our weight off the spine and engaging the entire body. We are more likely to do active, engaging things when the body is strong & engaged. Great for runners, dancers, movers and shakers! Great for grounding the spirit.  

Connect and support others down below! Cultivate positivity. Remember each day is different! The journey is the reward! See you tomorrow!

- - - - - -
Need the BASICS of Foundations of a pose?
Check out the Foundations Of Yoga playlist: http://goo.gl/Bc2iUc

#yogawithadriene   #freeyoga   #30daysofyoga
  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2015-01-07T06:00:01Z,18,5644977,0,0,0,0,30736,0,0,1873,16:58,0,0,38,34482
7,Yoga With Adriene,Day 7 - Total Body Yoga - 30 Days of Yoga,"Join Adriene on Day 7 of The 30 Days of Yoga journey! Total Body Yoga! This practice opens up the side body and invites you to create space as you build total-body strength.
Use this Day 7 practice to get the heart rate going and build strength. This sequence focuses on core strength and side body length! Meet your edge mindfully - don't push! Practice non-harming, mindful action, and alignment! Drink a tall glass of water after this practice. Keep up the great work!

Connect and support others down below! Cultivate positivity. Remember each day is different! The journey is the reward! See you tomorrow!

- - - - - -
Need the BASICS of Foundations of a pose?
Check out the Foundations Of Yoga playlist: http://goo.gl/Bc2iUc

#yogawithadriene   #freeyoga   #30daysofyoga
  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2015-01-08T06:00:03Z,17,5377098,0,0,0,0,28415,0,0,2225,30:3,0,0,41,32865
8,Yoga With Adriene,Day 8 - Yoga For Healing & Meditation - 30 Days of Yoga,"Join Adriene on Day 8 of The 30 Days of Yoga journey! Yoga For Healing & Meditation! Whether you plan to mediate after practice or whether the practice IS your mediation use this slow and juicy sequence to guide your body and your breath. 

Day 8 invites you to slow down, cultivate balance, and CONNECT. We open the hips in this sequence and use the subtle power of the breath to find release and let go. Connect to your spirit, soften, stretch, and relax. 

If you are used to moving fast, this may be a challenge for you. Enjoy the rejuvenating and restorative benefits of yoga and meditation. This should feel AWESOME after the first week of the 30 Day Of Yoga Journey. Relax and enjoy! You deserve it. 

Connect and support others down below! Cultivate positivity. Remember each day is different! The journey is the reward! See you tomorrow!

- - - - - -
Need the BASICS of Foundations of a pose?
Check out the Foundations Of Yoga playlist: http://goo.gl/Bc2iUc

#yogawithadriene   #freeyoga   #30daysofyoga
  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2015-01-09T06:00:02Z,24,4368293,0,0,0,0,26969,0,0,2559,28:10,0,0,55,32087
9,Yoga With Adriene,Day 9 - Full Potential Detox Practice - 30 Days of Yoga,"Join Adriene on Day 9 of The 30 Days of Yoga journey! Full Potential Detox Practice! Meet your full potential and come into your power with this vigorous - but loving -  at-home yoga practice. 

Day 9 invites you to embrace your full potential! This is a fierce practice that is great for the digestive organs and abdominals. Perfect if you are feeling bloated in the belly or looking to tone to strong lean muscles. Very beneficial for those who suffer from IBS, constipation, or stomach discomfort. Cleanse it out safely with yoga. Keep a strong focus on the breath and alignment as you connect to full body strength with grace and ease. Make self-adjustments and modify up or down through this practice. This video is fun and challenging! Keep a sense of humor and always take breaks when you need! Listen to your body and ENJOY! Let your heart rate return back to its normal rate in Savasana after practice. Drink a tall glass of water to follow. 

Connect and support others down below! Cultivate positivity. Remember each day is different! The journey is the reward! See you tomorrow!

- - - - - -

Need the BASICS of Foundations of a pose?
Check out the Foundations Of Yoga playlist: http://goo.gl/Bc2iUc

#yogawithadriene   #freeyoga   #30daysofyoga
  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2015-01-10T06:00:02Z,25,3895058,0,0,0,0,23812,0,0,1911,25:57,0,0,55,27634
